transaction_id,amount,payment_method,failure_reason,recovery_probability,priority,recommended_action,action_status,actual_recovered
TX09299,30691.3,Wallet,Technical Error,6.28,Low,Defer Recovery,Deferred,0
TX06144,13804.38,Wallet,Bank Declined,11.06,Low,Defer Recovery,Deferred,0
TX06896,16523.92,Wallet,Timeout,10.03,Low,Defer Recovery,Deferred,0
TX01797,10108.18,Card,Bank Declined,29.19,Low,Defer Recovery,Deferred,0
TX01469,33490.79,Card,Timeout,23.49,Low,Defer Recovery,Deferred,1
TX04579,21402.58,NetBanking,Bank Declined,5.75,Low,Defer Recovery,Deferred,0
TX02063,10605.37,UPI,Technical Error,5.24,Low,Defer Recovery,Deferred,0
TX07652,46768.99,Wallet,Insufficient Funds,22.95,Low,Defer Recovery,Deferred,1
TX00877,23032.19,UPI,Bank Declined,43.02,Medium,Send Notification,Notification Sent,0
TX03939,28819.92,UPI,Authentication Failed,98.71,High,Generate Payment Link,Payment Link Created,1
TX08202,24033.63,Wallet,Timeout,7.01,Low,Defer Recovery,Deferred,0
TX01540,20956.63,UPI,Authentication Failed,99.76,High,Retry Payment,Retry Initiated,1
TX04088,23869.28,UPI,Timeout,6.08,Low,Defer Recovery,Deferred,0
TX05933,20375.52,NetBanking,Authentication Failed,3.23,Low,Defer Recovery,Deferred,0
TX06807,5012.03,UPI,Technical Error,1.33,Low,Defer Recovery,Deferred,0
TX08709,29989.61,NetBanking,Technical Error,99.89,High,Retry Payment,Retry Initiated,1
TX07838,14687.24,UPI,Technical Error,9.15,Low,Defer Recovery,Deferred,0
TX07275,34168.92,Wallet,Bank Declined,98.47,High,Retry Payment,Retry Initiated,1
TX02632,37107.73,Card,Authentication Failed,5.81,Low,Defer Recovery,Deferred,0
TX01841,27084.21,Wallet,Timeout,88.91,High,Generate Payment Link,Payment Link Created,0
TX08330,44426.56,Wallet,Authentication Failed,98.59,High,Generate Payment Link,Payment Link Created,0
TX05233,26097.47,NetBanking,Bank Declined,99.64,High,Retry Payment,Retry Initiated,1
TX03765,29297.57,Wallet,Bank Declined,96.85,High,Retry Payment,Retry Initiated,1
